dataset,score,ambiguity,e_model,width,u_cal,sigma_cal
adult,0.47543398246003105,0.2482638888888889,0.0427424556066587,0.0016339869281045694,0.020141001692191223,0.025608940354674547
adult,0.9945336918879542,0.0014556009825838364,0.0014447156006422263,0.002915451895043719,0.0020600326801052324,0.00016658825926371272
adult,0.9879955872677397,0.0028985262303948133,0.010524011036212338,0.005813953488372103,0.004105106172602843,0.000525332110059057
adult,0.0626232235304178,0.07226464100434361,0.01804062133401436,0.0018450184501844907,0.011546843549168434,0.011191581472600916
adult,0.3950892414364978,0.23961908152367392,0.03658768423680311,0.0037735849056603765,0.030070300117324054,0.02101607406598935
adult,0.2270766537809083,0.19193938369033287,0.041285260659798304,0.03532596636044913,0.08234345275424171,0.027000221627186273
adult,0.2935555539208778,0.20021333703549446,0.0260282210030305,0.0013605442176870541,0.016504517503019327,0.016819528155112486
adult,0.007668853647081495,0.005840161838992699,0.001996412175868119,0.0013054830287206262,0.002761201217909845,0.0021079747112016105
adult,0.02976090462666161,0.01802443423026589,0.008913746506904468,0.0028248587570621486,0.007135578524300419,0.004978406550068824
adult,0.024175619573357923,0.017147740165182633,0.00431468945701402,0.0014118245738151541,0.00492032528910457,0.0041998850067968005
adult,0.08770937054002956,0.08571925254688138,0.02626605239579658,0.0033222591362126325,0.016875472435555535,0.010521942168718162
adult,0.008762445553665482,0.006221405967880191,0.0023438209018215167,0.002077337958110194,0.0035949913448979,0.0021135644677060693
adult,0.0412506853672903,0.03531948505010455,0.007321723040737251,0.007753655294638902,0.016548568284376227,0.00811235709015314
adult,0.630694081245333,0.2214663988312637,0.029229536954641606,0.013513513513513487,0.05470639060836905,0.029727233899089215
adult,0.8496759132439765,0.0963003615702479,0.02917360036126205,0.011363636363636354,0.03308054247697577,0.025592604388688267
adult,0.06639604510288996,0.07226464100434361,0.0242671817911338,0.0018450184501844907,0.011546843549168434,0.010658544031987002
adult,0.4153185110208054,0.2396883303220321,0.02632130562940053,0.0030927835051546837,0.0272269005653976,0.02193378607756843
adult,0.0010135618494257848,0.0007278016517702502,0.00022674055333985225,0.0014566642388929353,0.0010296419956183473,0.00036768912011595514
adult,0.0073984917426334436,0.005840161838992699,0.0013443188435976598,0.0013054830287206262,0.002761201217909845,0.0021536356327541482
adult,0.38626024451241214,0.23921950542359574,0.07277683450394866,0.006627393225331402,0.03981710348093476,0.023981383329020826
adult,0.9786581377822405,0.008332744862650914,0.009366499631290286,0.01680672268907568,0.011834108844581156,0.0031545812417260294
adult,0.26772695726191065,0.20021333703549446,0.0714217427732472,0.0013605442176870541,0.016504517503019327,0.017258760909270265
adult,0.011564955709339467,0.007541661768877842,0.005927099662136829,0.0010944533334865366,0.0028729770035585606,0.0021212143108140617
adult,0.010431948420531727,0.006221405967880191,0.005152226048563428,0.002077337958110194,0.0035949913448979,0.001855174738066522
adult,0.0014629399755341172,0.0013398814647930595,0.0006589950753505974,0.0008944543828264759,0.0010947432797930802,0.0008580940640018182
adult,0.1031083536065951,0.08571925254688138,0.021653793507168242,0.0033222591362126325,0.016875472435555535,0.011588580296049342
adult,0.8056385748339877,0.11292745149178719,0.04464511082451245,0.006200466200466215,0.026461346263552322,0.022989784410794585
